            Tokens     |    Lexemes 
        identifier     =     var1 
          operator     =     = 
    floating point     =     55.242 
         seperator     =     ; 
        identifier     =     var2 
          operator     =     = 
        identifier     =     funcReturn 
         seperator     =     ( 
        identifier     =     foo 
         seperator     =     , 
        identifier     =     bar 
         seperator     =     ) 
         seperator     =     ; 
        identifier     =     var3 
          operator     =     = 
         seperator     =     [ 
         seperator     =     ' 
        identifier     =     string1 
         seperator     =     ' 
         seperator     =     , 
        identifier     =     int2 
         seperator     =     ] 
